sequence_id,line_order,speaker_id,text_template,claim_id,portrait_path,emotion,voice_over_path
D_JUNE_ARRIVAL_HHIGH_DLOW,1,U001,"I want to trust the menu, but my last visits left me unsure. Please tell me what you are making.",,,Cautious,
D_JUNE_ARRIVAL_HHIGH_DMID,0,U001,I feel more confident about my choices here now.,,,Neutral,
D_JUNE_ARRIVAL_HHIGH_DMID,1,U001,I am still finding my routine here. A straightforward meal would help.,,,Neutral,
D_JUNE_ARRIVAL_HHIGH_DHIGH,0,U001,I feel more confident about my choices here now.,,,Welcoming,
D_JUNE_ARRIVAL_HHIGH_DHIGH,1,U001,I have enjoyed coming here. I am looking forward to what you have planned.,,,Welcoming,
D_JUNE_AFTER_HEALTH_LOSS,0,U001,"The dish matches the order, but it was not a good fit for me today.",,,Concerned,
D_JUNE_AFTER_HEALTH_LOSS,1,U001,Could we try a different combination of ingredients next time?,,,Concerned,
D_DEV_ARRIVAL_HLOW_DLOW,0,U002,Training is not on the agenda today. I am taking a quieter lunch break.,,,Cautious,
D_DEV_ARRIVAL_HLOW_DLOW,1,U002,I need a meal I can count on. The last few orders have made me cautious.,,,Cautious,
D_DEV_ARRIVAL_HLOW_DMID,0,U002,Training is not on the agenda today. I am taking a quieter lunch break.,,,Neutral,
D_DEV_ARRIVAL_HLOW_DMID,1,U002,I am still trying out the menu. Something practical fits my plans today.,,,Neutral,
D_DEV_ARRIVAL_HLOW_DHIGH,0,U002,Training is not on the agenda today. I am taking a quieter lunch break.,,,Welcoming,
D_DEV_ARRIVAL_HLOW_DHIGH,1,U002,This is becoming one of my regular stops. I like knowing there is a meal worth making time for.,,,Welcoming,
D_DEV_ARRIVAL_HMID_DLOW,0,U002,I have been looking at the bean and grain options instead of ordering on autopilot.,,,Cautious,
D_DEV_ARRIVAL_HMID_DLOW,1,U002,I need a meal I can count on. The last few orders have made me cautious.,,,Cautious,
D_DEV_ARRIVAL_HMID_DMID,0,U002,I have been looking at the bean and grain options instead of ordering on autopilot.,,,Neutral,
D_DEV_ARRIVAL_HMID_DMID,1,U002,I am still trying out the menu. Something practical fits my plans today.,,,Neutral,
D_DEV_ARRIVAL_HMID_DHIGH,0,U002,I have been looking at the bean and grain options instead of ordering on autopilot.,,,Welcoming,
D_DEV_ARRIVAL_HMID_DHIGH,1,U002,This is becoming one of my regular stops. I like knowing there is a meal worth making time for.,,,Welcoming,
D_DEV_ARRIVAL_HHIGH_DLOW,0,U002,I know my way around this menu now.,,,Cautious,
D_DEV_ARRIVAL_HHIGH_DLOW,1,U002,I need a meal I can count on. The last few orders have made me cautious.,,,Cautious,
D_DEV_ARRIVAL_HHIGH_DMID,0,U002,I know my way around this menu now.,,,Neutral,
D_DEV_ARRIVAL_HHIGH_DMID,1,U002,I am still trying out the menu. Something practical fits my plans today.,,,Neutral,
D_DEV_ARRIVAL_HHIGH_DHIGH,0,U002,I know my way around this menu now.,,,Welcoming,
D_DEV_ARRIVAL_HHIGH_DHIGH,1,U002,This is becoming one of my regular stops. I like knowing there is a meal worth making time for.,,,Welcoming,
D_DEV_AFTER_HEALTH_LOSS,0,U002,"The dish matches the order, but it was not a good fit for me today.",,,Concerned,
D_DEV_AFTER_HEALTH_LOSS,1,U002,Could we try a different combination of ingredients next time?,,,Concerned,
D_ROSA_ARRIVAL_HLOW_DLOW,0,U003,Today I would rather leave the cooking to someone else.,,,Cautious,
D_ROSA_ARRIVAL_HLOW_DLOW,1,U003,I have been disappointed by the cooking lately. Could we agree on the dish before you begin?,,,Cautious,
D_ROSA_ARRIVAL_HLOW_DMID,0,U003,Today I would rather leave the cooking to someone else.,,,Neutral,
D_ROSA_ARRIVAL_HLOW_DMID,1,U003,I am curious about what is cooking today. A simple combination would be lovely.,,,Neutral,
D_ROSA_ARRIVAL_HLOW_DHIGH,0,U003,Today I would rather leave the cooking to someone else.,,,Welcoming,
D_ROSA_ARRIVAL_HLOW_DHIGH,1,U003,I have enjoyed the meals here. I always leave with something to think about for my own kitchen.,,,Welcoming,
D_ROSA_ARRIVAL_HMID_DLOW,0,U003,I have been thinking about the ingredients in your bowls.,,,Cautious,
D_ROSA_ARRIVAL_HMID_DLOW,1,U003,I have been disappointed by the cooking lately. Could we agree on the dish before you begin?,,,Cautious,
D_ROSA_ARRIVAL_HMID_DMID,0,U003,I have been thinking about the ingredients in your bowls.,,,Neutral,
D_ROSA_ARRIVAL_HMID_DMID,1,U003,I am curious about what is cooking today. A simple combination would be lovely.,,,Neutral,
D_ROSA_ARRIVAL_HMID_DHIGH,0,U003,I have been thinking about the ingredients in your bowls.,,,Welcoming,
D_ROSA_ARRIVAL_HMID_DHIGH,1,U003,I have enjoyed the meals here. I always leave with something to think about for my own kitchen.,,,Welcoming,
D_ROSA_ARRIVAL_HHIGH_DLOW,0,U003,I am building a little collection of meal ideas from these visits.,,,Cautious,
D_ROSA_ARRIVAL_HHIGH_DLOW,1,U003,I have been disappointed by the cooking lately. Could we agree on the dish before you begin?,,,Cautious,
D_ROSA_ARRIVAL_HHIGH_DMID,0,U003,I am building a little collection of meal ideas from these visits.,,,Neutral,
D_ROSA_ARRIVAL_HHIGH_DMID,1,U003,I am curious about what is cooking today. A simple combination would be lovely.,,,Neutral,
D_ROSA_ARRIVAL_HHIGH_DHIGH,0,U003,I am building a little collection of meal ideas from these visits.,,,Welcoming,
D_ROSA_ARRIVAL_HHIGH_DHIGH,1,U003,I have enjoyed the meals here. I always leave with something to think about for my own kitchen.,,,Welcoming,
D_ROSA_AFTER_HEALTH_LOSS,0,U003,"The dish matches the order, but it was not a good fit for me today.",,,Concerned,
D_ROSA_AFTER_HEALTH_LOSS,1,U003,Could we try a different combination of ingredients next time?,,,Concerned,
D_SAM_ARRIVAL_HLOW_DLOW,0,U004,It has been a rough office day. I nearly skipped a proper lunch again.,,,Cautious,
D_SAM_ARRIVAL_HLOW_DLOW,1,U004,"My break is short, and the last meals were not what I expected. Can we get this one right?",,,Cautious,
D_SAM_ARRIVAL_HLOW_DMID,0,U004,It has been a rough office day. I nearly skipped a proper lunch again.,,,Neutral,
D_SAM_ARRIVAL_HLOW_DMID,1,U004,I am giving myself a proper lunch break today. Let us see what is on the menu.,,,Neutral,
D_SAM_ARRIVAL_HLOW_DHIGH,0,U004,It has been a rough office day. I nearly skipped a proper lunch again.,,,Welcoming,
D_SAM_ARRIVAL_HLOW_DHIGH,1,U004,I have been looking forward to this break. Your lunches have made it worth leaving my desk.,,,Welcoming,
D_SAM_ARRIVAL_HMID_DLOW,0,U004,I actually made time to leave the desk today.,,,Cautious,
D_SAM_ARRIVAL_HMID_DLOW,1,U004,"My break is short, and the last meals were not what I expected. Can we get this one right?",,,Cautious,
D_SAM_ARRIVAL_HMID_DMID,0,U004,I actually made time to leave the desk today.,,,Neutral,
D_SAM_ARRIVAL_HMID_DMID,1,U004,I am giving myself a proper lunch break today. Let us see what is on the menu.,,,Neutral,
D_SAM_ARRIVAL_HMID_DHIGH,0,U004,I actually made time to leave the desk today.,,,Welcoming,
D_SAM_ARRIVAL_HMID_DHIGH,1,U004,I have been looking forward to this break. Your lunches have made it worth leaving my desk.,,,Welcoming,
D_SAM_ARRIVAL_HHIGH_DLOW,0,U004,I am getting better at planning my break before the afternoon rush.,,,Cautious,
D_SAM_ARRIVAL_HHIGH_DLOW,1,U004,"My break is short, and the last meals were not what I expected. Can we get this one right?",,,Cautious,
D_SAM_ARRIVAL_HHIGH_DMID,0,U004,I am getting better at planning my break before the afternoon rush.,,,Neutral,
D_SAM_ARRIVAL_HHIGH_DMID,1,U004,I am giving myself a proper lunch break today. Let us see what is on the menu.,,,Neutral,
D_SAM_ARRIVAL_HHIGH_DHIGH,0,U004,I am getting better at planning my break before the afternoon rush.,,,Welcoming,
D_SAM_ARRIVAL_HHIGH_DHIGH,1,U004,I have been looking forward to this break. Your lunches have made it worth leaving my desk.,,,Welcoming,
D_SAM_AFTER_HEALTH_LOSS,0,U004,"The dish matches the order, but it was not a good fit for me today.",,,Concerned,
D_SAM_AFTER_HEALTH_LOSS,1,U004,Could we try a different combination of ingredients next time?,,,Concerned,
D_MARCO_INTRO,0,U005,"I am Marco. I work on the boats, so fish has always been the centre of my meals.",,,Neutral,
D_MARCO_INTRO,1,U005,I am curious about your bean dishes. Something hearty and familiar would be a good place to start.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DLOW,0,U005,It has been a tiring morning at the harbour. I would like a quiet lunch.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DLOW,1,U005,I was disappointed last time. Please keep today close to what is on the menu.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DMID,0,U005,It has been a tiring morning at the harbour. I would like a quiet lunch.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DMID,1,U005,I am still finding my usual order here. Let us keep it simple.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DHIGH,0,U005,It has been a tiring morning at the harbour. I would like a quiet lunch.,,,Neutral,
D_MARCO_ARRIVAL_HLOW_DHIGH,1,U005,I have been looking forward to coming back. I like having another place for lunch.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DLOW,0,U005,I have finished the morning shift. Time to sit down with a proper lunch.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DLOW,1,U005,I was disappointed last time. Please keep today close to what is on the menu.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DMID,0,U005,I have finished the morning shift. Time to sit down with a proper lunch.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DMID,1,U005,I am still finding my usual order here. Let us keep it simple.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DHIGH,0,U005,I have finished the morning shift. Time to sit down with a proper lunch.,,,Neutral,
D_MARCO_ARRIVAL_HMID_DHIGH,1,U005,I have been looking forward to coming back. I like having another place for lunch.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DLOW,0,U005,I have some energy left after the morning shift. I am glad I made time for lunch.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DLOW,1,U005,I was disappointed last time. Please keep today close to what is on the menu.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DMID,0,U005,I have some energy left after the morning shift. I am glad I made time for lunch.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DMID,1,U005,I am still finding my usual order here. Let us keep it simple.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DHIGH,0,U005,I have some energy left after the morning shift. I am glad I made time for lunch.,,,Neutral,
D_MARCO_ARRIVAL_HHIGH_DHIGH,1,U005,I have been looking forward to coming back. I like having another place for lunch.,,,Neutral,
D_MARCO_AFTER_HIGH,0,U005,That {servedRecipe} had plenty of flavour. I would be happy to order it again.,,,Neutral,
D_MARCO_AFTER_HIGH,1,U005,A good lunch does not have to be the same lunch I have always eaten.,,,Neutral,
D_MARCO_AFTER_OKAY,0,U005,Thanks for the {servedRecipe}. That was a straightforward lunch.,,,Neutral,
D_MARCO_AFTER_OKAY,1,U005,I could make room for something like this in my routine.,,,Neutral,
D_MARCO_AFTER_POOR,0,U005,This is not the dish we agreed on. I would rather you tell me when the ingredients run short.,,,Neutral,
D_MARCO_AFTER_POOR,1,U005,"I came for a meal, not just a larger pile of whatever was left.",,,Neutral,
D_MARCO_AFTER_HEALTH_LOSS,0,U005,"I appreciate the effort, but this meal did not leave me feeling better.",,,Neutral,
D_MARCO_AFTER_HEALTH_LOSS,1,U005,"Next time, let us look at the ingredients as well as the name on the menu.",,,Neutral,
D_MARCO_AFTER_FANCY,0,U005,That {servedRecipe} felt like a special occasion.,,,Neutral,
D_MARCO_AFTER_FANCY,1,U005,I would still like the simple meals to stay on the menu too.,,,Neutral,
D_PRIYA_INTRO,0,U006,"I am Priya. I recently went vegan, and most of my shopping has been whatever has the biggest vegan label.",,,Neutral,
D_PRIYA_INTRO,1,U006,I would like some simple meal ideas too. I do not want every lunch to come out of a snack packet.,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DLOW,0,U006,I am feeling worn out today. I would like to take lunch slowly.,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DLOW,1,U006,I was let down last time. Can we make sure the dish matches what I choose?,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DMID,0,U006,I am feeling worn out today. I would like to take lunch slowly.,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DMID,1,U006,I am still working out which meals I enjoy here. Something simple is fine.,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DHIGH,0,U006,I am feeling worn out today. I would like to take lunch slowly.,,,Neutral,
D_PRIYA_ARRIVAL_HLOW_DHIGH,1,U006,I am glad to be back. I have started looking forward to trying your combinations.,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DLOW,0,U006,I have a break between errands. This seems like a good time for lunch.,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DLOW,1,U006,I was let down last time. Can we make sure the dish matches what I choose?,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DMID,0,U006,I have a break between errands. This seems like a good time for lunch.,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DMID,1,U006,I am still working out which meals I enjoy here. Something simple is fine.,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DHIGH,0,U006,I have a break between errands. This seems like a good time for lunch.,,,Neutral,
D_PRIYA_ARRIVAL_HMID_DHIGH,1,U006,I am glad to be back. I have started looking forward to trying your combinations.,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DLOW,0,U006,I am feeling lively today. I am looking forward to a proper lunch break.,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DLOW,1,U006,I was let down last time. Can we make sure the dish matches what I choose?,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DMID,0,U006,I am feeling lively today. I am looking forward to a proper lunch break.,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DMID,1,U006,I am still working out which meals I enjoy here. Something simple is fine.,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DHIGH,0,U006,I am feeling lively today. I am looking forward to a proper lunch break.,,,Neutral,
D_PRIYA_ARRIVAL_HHIGH_DHIGH,1,U006,I am glad to be back. I have started looking forward to trying your combinations.,,,Neutral,
D_PRIYA_AFTER_HIGH,0,U006,I really enjoyed that {servedRecipe}. It is a combination I would choose again.,,,Neutral,
D_PRIYA_AFTER_HIGH,1,U006,I like finding meals I enjoy without relying on the words on a packet.,,,Neutral,
D_PRIYA_AFTER_OKAY,0,U006,Thanks for the {servedRecipe}. That gives me another lunch idea.,,,Neutral,
D_PRIYA_AFTER_OKAY,1,U006,Something dependable is useful while I find my routine.,,,Neutral,
D_PRIYA_AFTER_POOR,0,U006,These ingredients do not add up to the dish I chose.,,,Neutral,
D_PRIYA_AFTER_POOR,1,U006,"I am happy to try something different, but I want to know what I am ordering.",,,Neutral,
D_PRIYA_AFTER_HEALTH_LOSS,0,U006,"I liked the idea, but I do not feel better after this meal.",,,Neutral,
D_PRIYA_AFTER_HEALTH_LOSS,1,U006,An appealing name is not enough for me. Let us look more closely at the ingredients next time.,,,Neutral,
D_PRIYA_AFTER_FANCY,0,U006,That {servedRecipe} felt like a special occasion.,,,Neutral,
D_PRIYA_AFTER_FANCY,1,U006,I would still like the simple meals to stay on the menu too.,,,Neutral,
