sequence_id,display_name,mode,trigger,repeat_rule,priority,random_weight,customer_id,min_day,max_day,min_customer_health,max_customer_health,min_customer_delight,max_customer_delight,required_recipe_id,required_recipe_tiers,min_served_meal_delight,max_served_meal_delight,required_flags,forbidden_flags,set_flags,clear_flags,approval_status,review_notes,recipe_build_condition,meal_health_condition
D_ROSA_ARRIVAL_BASIC,Rosa arrives,Ambient,CustomerArrival,Repeatable,0,1,U003,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_ROSA_AFTER_BASIC,Rosa reacts to the meal,Ambient,AfterService,Repeatable,0,1,U003,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_SAM_ARRIVAL_BASIC,Sam arrives,Ambient,CustomerArrival,Repeatable,0,1,U004,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,
D_SAM_AFTER_BASIC,Sam reacts to the meal,Ambient,AfterService,Repeatable,0,1,U004,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,
D_JUNE_ARRIVAL_HLOW_DLOW,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,0,34,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HLOW_DMID,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,0,34,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HLOW_DHIGH,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,0,34,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HMID_DLOW,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,35,69,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HMID_DMID,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,35,69,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HMID_DHIGH,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,35,69,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HHIGH_DLOW,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,70,100,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HHIGH_DMID,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,70,100,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_ARRIVAL_HHIGH_DHIGH,June arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U001,1,-1,70,100,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_JUNE_AFTER_HEALTH_LOSS,June reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U001,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,Loss
D_DEV_ARRIVAL_HLOW_DLOW,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,0,34,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HLOW_DMID,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,0,34,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HLOW_DHIGH,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,0,34,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HMID_DLOW,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,35,69,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HMID_DMID,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,35,69,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HMID_DHIGH,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,35,69,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HHIGH_DLOW,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,70,100,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HHIGH_DMID,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,70,100,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_ARRIVAL_HHIGH_DHIGH,Dev arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U002,1,-1,70,100,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_DEV_AFTER_HEALTH_LOSS,Dev reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U002,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,Loss
D_ROSA_ARRIVAL_HLOW_DLOW,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,0,34,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HLOW_DMID,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,0,34,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HLOW_DHIGH,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,0,34,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HMID_DLOW,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,35,69,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HMID_DMID,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,35,69,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HMID_DHIGH,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,35,69,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HHIGH_DLOW,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,70,100,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HHIGH_DMID,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,70,100,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_ARRIVAL_HHIGH_DHIGH,Rosa arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U003,1,-1,70,100,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_ROSA_AFTER_HEALTH_LOSS,Rosa reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U003,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,Loss
D_SAM_ARRIVAL_HLOW_DLOW,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,0,34,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HLOW_DMID,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,0,34,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HLOW_DHIGH,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,0,34,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HMID_DLOW,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,35,69,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HMID_DMID,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,35,69,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HMID_DHIGH,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,35,69,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HHIGH_DLOW,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,70,100,0,34,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HHIGH_DMID,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,70,100,35,69,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_ARRIVAL_HHIGH_DHIGH,Sam arrives,Mandatory,CustomerArrival,OncePerDay,90,1,U004,1,-1,70,100,70,100,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Any,Any
D_SAM_AFTER_HEALTH_LOSS,Sam reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U004,1,-1,,,,,,,,,,,,,Pending,Prototype narrative based on capstone character themes; pending supervisor review. No medical claims authored.,Built,Loss
D_MARCO_INTRO,Marco introduces themselves,Mandatory,BeforeService,Once,150,1,U005,2,-1,,,,,,,,,,marco_introduction_complete,marco_introduction_complete,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HLOW_DLOW,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,0,34,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HLOW_DMID,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,0,34,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HLOW_DHIGH,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,0,34,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HMID_DLOW,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,35,69,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HMID_DMID,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,35,69,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HMID_DHIGH,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,35,69,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HHIGH_DLOW,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,70,100,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HHIGH_DMID,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,70,100,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_ARRIVAL_HHIGH_DHIGH,Marco arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U005,2,-1,70,100,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_MARCO_AFTER_HIGH,Marco reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U005,2,-1,,,,,,,8,100,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
D_MARCO_AFTER_OKAY,Marco reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U005,2,-1,,,,,,,0,7,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
D_MARCO_AFTER_POOR,Marco reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U005,2,-1,,,,,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Failed,
D_MARCO_AFTER_HEALTH_LOSS,Marco reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U005,2,-1,,,,,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,Loss
D_MARCO_AFTER_FANCY,Marco reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U005,2,-1,,,,,,Premium|Luxury,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
D_PRIYA_INTRO,Priya introduces themselves,Mandatory,BeforeService,Once,150,1,U006,3,-1,,,,,,,,,,priya_introduction_complete,priya_introduction_complete,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HLOW_DLOW,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,0,34,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HLOW_DMID,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,0,34,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HLOW_DHIGH,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,0,34,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HMID_DLOW,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,35,69,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HMID_DMID,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,35,69,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HMID_DHIGH,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,35,69,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HHIGH_DLOW,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,70,100,0,34,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HHIGH_DMID,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,70,100,35,69,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_ARRIVAL_HHIGH_DHIGH,Priya arrives,Mandatory,CustomerArrival,OncePerDay,100,1,U006,3,-1,70,100,70,100,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Any,
D_PRIYA_AFTER_HIGH,Priya reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U006,3,-1,,,,,,,8,100,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
D_PRIYA_AFTER_OKAY,Priya reacts to the meal,Mandatory,AfterService,OncePerDay,90,1,U006,3,-1,,,,,,,0,7,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
D_PRIYA_AFTER_POOR,Priya reacts to the meal,Mandatory,AfterService,OncePerDay,200,1,U006,3,-1,,,,,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Failed,
D_PRIYA_AFTER_HEALTH_LOSS,Priya reacts to the meal,Mandatory,AfterService,OncePerDay,190,1,U006,3,-1,,,,,,,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,Loss
D_PRIYA_AFTER_FANCY,Priya reacts to the meal,Mandatory,AfterService,OncePerDay,110,1,U006,3,-1,,,,,,Premium|Luxury,,,,,,,Pending,Draft narrative inspired by Capstone Plan S7. Personal preferences only; no medical claims. Review before release.,Built,
