id,display_name,recipe_category,daily_dozen_categories,traffic_light,marketing_label,ingredient_list,ingredient_count,storage_type,claim_id,icon_path,approval_status,review_notes
P011,Chicken breast,Meat,None,Yellow,Everyday convenience,Chicken breast,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P012,Olive oil,Fat,None,Yellow,Everyday convenience,Olive oil,1,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P013,Vegan chicken nuggets,MeatSubstitute,None,Red,Convenient snack or ready-to-cook product,"Soy protein isolate, Refined wheat flour, Sunflower oil, Starch, Salt, Flavouring",6,Frozen,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P014,Soda,Beverage,None,Red,Convenient snack or ready-to-cook product,"Carbonated water, Sugar, Flavouring, Caramel colour",4,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P015,Eggs,Egg,None,Yellow,Everyday convenience,Egg,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P016,Cheese,Dairy,None,Red,Convenient snack or ready-to-cook product,"Milk, Cultures, Salt, Enzymes",4,Fresh,,,Pending,Prototype processed dairy classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P017,Dry beans,Beans,Beans,Green,Plain staple,Black beans,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P018,Spinach,Vegetable,Greens,Green,Plain staple,Spinach,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P019,Tomato,Vegetable,OtherVegetables,Green,Plain staple,Tomato,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P020,Banana,Fruit,OtherFruit,Green,Plain staple,Banana,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P021,Apple,Fruit,OtherFruit,Green,Plain staple,Apple,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P022,Broccoli,Vegetable,CruciferousVegetables,Green,Plain staple,Broccoli,1,Frozen,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P023,Kale,Vegetable,Greens,Green,Plain staple,Kale,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P024,Carrot,Vegetable,OtherVegetables,Green,Plain staple,Carrot,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P025,Dry lentils,Beans,Beans,Green,Plain staple,Lentils,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P026,Chickpeas,Beans,Beans,Green,Plain staple,"Chickpeas, Water",2,Canned,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P027,Quinoa,Grain,WholeGrains,Green,Plain staple,Quinoa,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P028,Ground flaxseed,Fat,Flaxseed,Green,Plain staple,Flaxseed,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P029,Unsalted walnuts,Fat,NutsAndSeeds,Green,Plain staple,Walnuts,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P030,Unsalted pumpkin seeds,Fat,NutsAndSeeds,Green,Plain staple,Pumpkin seeds,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P031,Turmeric,Other,HerbsAndSpices,Green,Plain staple,Turmeric,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P032,Water,Beverage,Beverages,Green,Plain staple,Water,1,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P033,Unsweetened almond drink,Beverage,None,Yellow,Everyday convenience,"Water, Almonds, Calcium carbonate, Stabiliser",4,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P034,Salted tomato juice,Beverage,None,Yellow,Everyday convenience,"Tomato juice, Salt",2,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P035,Bacon,Meat,None,Red,Convenient snack or ready-to-cook product,"Pork, Salt, Sugar, Sodium nitrite",4,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P036,Potato chips,StarchyVegetable,None,Red,Convenient snack or ready-to-cook product,"Potatoes, Sunflower oil, Salt, Flavouring",4,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P037,Candy,Other,None,Red,Convenient snack or ready-to-cook product,"Sugar, Glucose syrup, Flavouring, Colour",4,ShelfStable,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P038,Edamame,Beans,Beans,Green,Plain staple,Edamame,1,Frozen,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P039,Purple sweet potato,StarchyVegetable,OtherVegetables,Green,Plain staple,Purple sweet potato,1,Fresh,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
P040,Plain barley,Grain,WholeGrains,Green,Plain staple,Hulled barley,1,Dry,,,Pending,Prototype composition and classification under supplied WFPB plan; pending supervisor review. Not a real product label.
