listing_id,food_id,store_id,shelf_id,unlock_day,required_flag,observed_price_cad,servings_per_package,game_price,price_source,price_display_style,approval_status,review_notes
L016,P008,S002,BOTTOM_SHELF,1,,,6,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L017,P009,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L018,P010,S002,BOTTOM_SHELF,1,,,4,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L019,P011,S002,BOTTOM_SHELF,1,,,4,7,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L020,P012,S002,BOTTOM_SHELF,1,,,8,6,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L021,P015,S002,BOTTOM_SHELF,1,,,6,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L022,P016,S002,BOTTOM_SHELF,1,,,4,5,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L023,P017,S002,BOTTOM_SHELF,1,,,12,5,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L024,P018,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L025,P019,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L026,P020,S002,BOTTOM_SHELF,1,,,4,2,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L027,P021,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L028,P022,S002,BACK_FREEZER,1,,,6,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L029,P023,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L030,P024,S002,BOTTOM_SHELF,1,,,6,2,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L031,P025,S002,BOTTOM_SHELF,1,,,10,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L032,P026,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L033,P027,S002,BOTTOM_SHELF,1,,,8,6,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L034,P028,S002,BOTTOM_SHELF,1,,,8,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L035,P029,S002,BOTTOM_SHELF,1,,,6,5,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L036,P030,S002,BOTTOM_SHELF,1,,,6,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L037,P031,S002,BOTTOM_SHELF,1,,,10,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L038,P032,S002,BOTTOM_SHELF,1,,,8,1,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L039,P033,S002,BOTTOM_SHELF,1,,,4,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L040,P034,S002,BOTTOM_SHELF,1,,,4,3,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L041,P035,S002,BARGAIN_BIN,1,,,4,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L042,P036,S002,BARGAIN_BIN,1,,,4,2,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L043,P037,S002,BARGAIN_BIN,1,,,4,2,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L044,P038,S003,PALLETS,4,,,18,8,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L045,P039,S003,PALLETS,4,,,12,8,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L046,P040,S002,BOTTOM_SHELF,1,,,10,4,Synthetic greybox game tuning; retail price not surveyed,Standard,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L047,P006,S001,PRODUCE,1,,,8,6.4,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L048,P018,S001,PRODUCE,1,,,4,4.8,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L049,P019,S001,PRODUCE,1,,,4,4.8,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L050,P020,S001,PRODUCE,1,,,4,3.2,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L051,P027,S001,PRODUCE,1,,,8,9.6,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L052,P029,S001,PRODUCE,1,,,6,8,Synthetic greybox game tuning; retail price not surveyed,Premium,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L053,P010,S003,PALLETS,4,,,12,8,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
L054,P022,S003,PALLETS,4,,,18,8,Synthetic greybox game tuning; retail price not surveyed,Bulk,Pending,Prototype game price and package servings; no retail observation. Serving units are gameplay quantities.
